,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
151,223600,95,1,2.68,13.63,0.6,2.68,9.84
152,223700,95,1,2.65,12.04,0.6,2.65,9.41
153,223800,95,1,2.48,13.06,0.6,2.48,9.39
154,223900,95,1,2.23,12.06,0.6,2.23,9.24
155,224000,95,1,2.38,12.93,0.6,2.38,9.47
156,224100,95,1,2.58,12.38,0.6,2.58,9.92
157,224200,95,1,2.25,13.0,0.6,2.25,9.47
158,224300,95,1,2.41,13.23,0.6,2.41,9.68
159,224400,95,1,2.45,13.03,0.6,2.45,9.34
160,224500,95,1,2.23,11.99,0.6,2.23,9.32
161,224600,95,1,2.57,12.23,0.6,2.58,9.64
162,224700,95,1,2.64,12.11,0.6,2.64,9.64
163,224800,95,1,2.23,12.65,0.6,2.23,9.26
164,224900,95,1,2.46,11.99,0.6,2.46,9.36
165,225000,95,1,2.07,11.68,0.6,2.07,9.32
166,225100,95,1,2.24,12.79,0.6,2.24,8.93
167,225200,95,1,2.51,13.04,0.6,2.51,9.81
168,225300,95,1,2.1,11.92,0.6,2.1,9.02
169,225400,95,1,2.39,11.78,0.6,2.39,9.2
170,225500,95,1,2.28,12.47,0.6,2.28,9.38
171,225600,95,1,2.57,13.04,0.6,2.57,9.71
172,225700,95,1,2.25,11.79,0.6,2.25,9.14
173,225800,95,1,2.51,11.82,0.6,2.51,9.4
174,225900,95,1,2.23,11.89,0.6,2.23,9.74
175,226000,95,1,2.23,11.81,0.6,2.23,9.58
176,226100,95,1,2.32,11.49,0.6,2.32,9.32
177,226200,95,1,2.4,12.7,0.6,2.4,9.46
178,226300,95,1,2.43,13.17,0.6,2.43,9.81
179,226400,95,1,2.1,11.38,0.6,2.1,8.96
180,226500,95,1,2.64,10.63,0.6,2.64,9.42
181,226600,95,1,2.32,10.97,0.6,2.32,9.73
182,226700,95,1,2.54,12.09,0.6,2.54,9.72
183,226800,95,1,2.35,12.22,0.6,2.35,9.82
184,226900,95,1,2.44,11.21,0.6,2.44,9.8
185,227000,95,1,2.34,11.24,0.6,2.34,9.72
186,227100,95,1,2.41,10.98,0.6,2.41,9.6
187,227200,95,1,2.48,11.52,0.6,2.48,9.65
188,227300,95,1,2.65,11.09,0.6,2.65,9.41
189,227400,95,1,2.34,10.96,0.6,2.34,9.47
190,227500,95,1,2.65,11.6,0.6,2.65,10.29
191,227600,95,1,2.03,12.02,0.6,2.03,9.19
192,227700,95,1,2.51,12.16,0.6,2.51,9.68
193,227800,95,1,2.4,13.39,0.6,2.4,9.72
194,227900,95,1,2.21,11.97,0.6,2.21,9.51
195,228000,95,1,2.48,12.27,0.6,2.48,9.65
196,228100,95,1,2.41,11.73,0.6,2.41,9.32
197,228200,95,1,2.53,13.14,0.6,2.53,9.43
198,228300,95,1,2.52,12.33,0.6,2.52,9.5
199,228400,95,1,2.05,13.1,0.6,2.05,9.93
200,228500,95,1,2.99,13.66,0.6,2.99,10.07
201,228600,95,1,2.41,13.32,0.6,2.41,9.67
