32700, 0.00468, 0.005
32800, 0.00479, 0.005
32900, 0.00443, 0.005
33000, 0.00469, 0.005
33100, 0.00425, 0.005
33200, 0.00455, 0.005
33300, 0.00466, 0.005
33400, 0.00435, 0.005
33500, 0.00423, 0.005
33600, 0.00413, 0.005
33700, 0.00426, 0.005
33800, 0.00425, 0.005
33900, 0.00435, 0.005
34000, 0.00398, 0.005
34100, 0.00437, 0.005
34200, 0.00444, 0.005
34300, 0.00426, 0.005
34400, 0.00407, 0.005
34500, 0.00428, 0.005
34600, 0.00407, 0.005
34700, 0.00406, 0.005
34800, 0.00435, 0.005
34900, 0.00421, 0.005
35000, 0.00418, 0.005
35100, 0.00451, 0.005
35200, 0.00447, 0.005
35300, 0.00392, 0.005
35400, 0.00431, 0.005
35500, 0.00411, 0.005
35600, 0.00384, 0.005
35700, 0.00451, 0.005
35800, 0.00422, 0.005
35900, 0.00406, 0.005
36000, 0.00417, 0.005
36100, 0.00387, 0.005
36200, 0.00430, 0.005
36300, 0.00430, 0.005
36400, 0.00439, 0.005
36500, 0.00392, 0.005
36600, 0.00414, 0.005
36700, 0.00439, 0.005
36800, 0.00388, 0.005
36900, 0.00405, 0.005
37000, 0.00413, 0.005
37100, 0.00444, 0.005
37200, 0.00402, 0.005
37300, 0.00368, 0.005
37400, 0.00400, 0.005
37500, 0.00423, 0.005
37600, 0.00400, 0.005
37700, 0.00387, 0.005
37800, 0.00409, 0.005
37900, 0.00410, 0.005
38000, 0.00396, 0.005
38100, 0.00430, 0.005
38200, 0.00383, 0.005
38300, 0.00419, 0.005
38400, 0.00399, 0.005
38500, 0.00408, 0.005
38600, 0.00394, 0.005
38700, 0.00391, 0.005
38800, 0.00410, 0.005
38900, 0.00436, 0.005
39000, 0.00434, 0.005
39100, 0.00376, 0.005
39200, 0.00396, 0.005
39300, 0.00410, 0.005
39400, 0.00392, 0.005
39500, 0.00389, 0.005
39600, 0.00407, 0.005
39700, 0.00400, 0.005
39800, 0.00436, 0.005
39900, 0.00382, 0.005
40000, 0.00404, 0.005
40100, 0.00403, 0.005
40200, 0.00399, 0.005
40300, 0.00377, 0.005
40400, 0.00411, 0.005
40500, 0.00375, 0.005
40600, 0.00391, 0.005
40700, 0.00403, 0.005
40800, 0.00375, 0.005
40900, 0.00410, 0.005
41000, 0.00434, 0.005
41100, 0.00398, 0.005
41200, 0.00406, 0.005
41300, 0.00393, 0.005
41400, 0.00389, 0.005
41500, 0.00392, 0.005
41600, 0.00392, 0.005
41700, 0.00388, 0.005
41800, 0.00421, 0.005
41900, 0.00368, 0.005
42000, 0.00378, 0.005
42100, 0.00408, 0.005
42200, 0.00390, 0.005
42300, 0.00393, 0.005
42400, 0.00381, 0.005
42500, 0.00381, 0.005
42600, 0.00416, 0.005
42700, 0.00474, 0.02
42800, 0.00487, 0.02
42900, 0.00483, 0.02
43000, 0.00480, 0.02
43100, 0.00430, 0.02
43200, 0.00510, 0.02
43300, 0.00465, 0.02
43400, 0.00477, 0.02
43500, 0.00466, 0.02
43600, 0.00465, 0.02
43700, 0.00431, 0.02
