,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
144,222700,95,1,2.7,11.85,0.6,2.7,9.77
145,222800,95,1,2.4,12.19,0.6,2.4,9.56
146,222900,95,1,2.25,12.86,0.6,2.25,9.72
147,223000,95,1,2.33,12.06,0.6,2.33,8.83
148,223100,95,1,2.39,12.45,0.6,2.39,9.45
149,223200,95,1,2.24,12.53,0.6,2.24,9.44
150,223300,95,1,2.43,12.44,0.6,2.43,9.64
151,223400,95,1,2.26,11.33,0.6,2.26,9.34
152,223500,95,1,2.52,13.71,0.6,2.52,9.8
153,223600,95,1,2.68,13.63,0.6,2.68,9.84
154,223700,95,1,2.65,12.04,0.6,2.65,9.41
155,223800,95,1,2.48,13.06,0.6,2.48,9.39
156,223900,95,1,2.23,12.06,0.6,2.23,9.24
157,224000,95,1,2.38,12.93,0.6,2.38,9.47
158,224100,95,1,2.58,12.38,0.6,2.58,9.92
159,224200,95,1,2.25,13.0,0.6,2.25,9.47
160,224300,95,1,2.41,13.23,0.6,2.41,9.68
161,224400,95,1,2.45,13.03,0.6,2.45,9.34
162,224500,95,1,2.23,11.99,0.6,2.23,9.32
163,224600,95,1,2.57,12.23,0.6,2.58,9.64
164,224700,95,1,2.64,12.11,0.6,2.64,9.64
165,224800,95,1,2.23,12.65,0.6,2.23,9.26
166,224900,95,1,2.46,11.99,0.6,2.46,9.36
167,225000,95,1,2.07,11.68,0.6,2.07,9.32
168,225100,95,1,2.24,12.79,0.6,2.24,8.93
169,225200,95,1,2.51,13.04,0.6,2.51,9.81
170,225300,95,1,2.1,11.92,0.6,2.1,9.02
171,225400,95,1,2.39,11.78,0.6,2.39,9.2
172,225500,95,1,2.28,12.47,0.6,2.28,9.38
173,225600,95,1,2.57,13.04,0.6,2.57,9.71
174,225700,95,1,2.25,11.79,0.6,2.25,9.14
175,225800,95,1,2.51,11.82,0.6,2.51,9.4
176,225900,95,1,2.23,11.89,0.6,2.23,9.74
177,226000,95,1,2.23,11.81,0.6,2.23,9.58
178,226100,95,1,2.32,11.49,0.6,2.32,9.32
179,226200,95,1,2.4,12.7,0.6,2.4,9.46
180,226300,95,1,2.43,13.17,0.6,2.43,9.81
181,226400,95,1,2.1,11.38,0.6,2.1,8.96
182,226500,95,1,2.64,10.63,0.6,2.64,9.42
183,226600,95,1,2.32,10.97,0.6,2.32,9.73
184,226700,95,1,2.54,12.09,0.6,2.54,9.72
185,226800,95,1,2.35,12.22,0.6,2.35,9.82
186,226900,95,1,2.44,11.21,0.6,2.44,9.8
187,227000,95,1,2.34,11.24,0.6,2.34,9.72
188,227100,95,1,2.41,10.98,0.6,2.41,9.6
189,227200,95,1,2.48,11.52,0.6,2.48,9.65
190,227300,95,1,2.65,11.09,0.6,2.65,9.41
191,227400,95,1,2.34,10.96,0.6,2.34,9.47
192,227500,95,1,2.65,11.6,0.6,2.65,10.29
193,227600,95,1,2.03,12.02,0.6,2.03,9.19
194,227700,95,1,2.51,12.16,0.6,2.51,9.68
195,227800,95,1,2.4,13.39,0.6,2.4,9.72
196,227900,95,1,2.21,11.97,0.6,2.21,9.51
197,228000,95,1,2.48,12.27,0.6,2.48,9.65
198,228100,95,1,2.41,11.73,0.6,2.41,9.32
199,228200,95,1,2.53,13.14,0.6,2.53,9.43
200,228300,95,1,2.52,12.33,0.6,2.52,9.5
201,228400,95,1,2.05,13.1,0.6,2.05,9.93
202,228500,95,1,2.99,13.66,0.6,2.99,10.07
203,228600,95,1,2.41,13.32,0.6,2.41,9.67
204,228700,95,1,2.64,14.6,0.6,2.64,9.92
205,228800,95,1,2.6,13.4,0.6,2.6,10.21
206,228900,95,1,2.13,12.83,0.6,2.13,8.9
207,229000,95,1,2.02,12.9,0.6,2.02,9.19
208,229100,95,1,2.11,12.89,0.6,2.11,9.22
209,229200,95,1,2.4,11.77,0.6,2.4,9.8
210,229300,95,1,2.29,12.84,0.6,2.29,9.69
211,229400,95,1,2.56,13.18,0.6,2.56,9.75
212,229500,95,1,2.48,13.19,0.6,2.48,9.65
213,229600,95,1,2.24,13.4,0.6,2.24,9.79
214,229700,95,1,2.17,11.31,0.6,2.17,9.66
215,229800,95,1,2.22,11.5,0.6,2.22,9.67
216,229900,95,1,2.34,10.82,0.6,2.34,9.35
217,230000,95,1,2.49,11.19,0.6,2.49,8.7
218,230100,95,1,2.6,10.66,0.6,2.6,9.23
219,230200,95,1,2.42,10.55,0.6,2.42,8.85
220,230300,95,1,2.45,10.55,0.6,2.45,8.89
221,230400,95,1,2.64,11.89,0.6,2.64,9.29
222,230500,95,1,2.4,11.61,0.6,2.4,8.9
223,230600,95,1,2.26,11.53,0.6,2.26,8.95
224,230700,95,1,2.67,11.64,0.6,2.67,9.1
225,230800,95,1,2.51,12.44,0.6,2.51,8.91
226,230900,95,1,2.58,12.05,0.6,2.58,9.49
227,231000,95,1,2.29,10.25,0.6,2.29,8.66
228,231100,95,1,2.37,10.51,0.6,2.37,8.93
229,231200,95,1,2.44,11.12,0.6,2.44,9.53
230,231300,95,1,2.53,11.77,0.6,2.53,9.06
231,231400,95,1,2.59,10.82,0.6,2.59,9.4
232,231500,95,1,2.27,11.55,0.6,2.27,8.91
233,231600,95,1,1.98,10.2,0.6,1.98,8.7
234,231700,95,1,2.65,12.1,0.6,2.65,9.9
235,231800,95,1,2.22,12.17,0.6,2.22,8.87
236,231900,95,1,2.82,11.97,0.6,2.82,9.34
237,232000,95,1,2.19,10.56,0.6,2.19,8.97
238,232100,95,1,2.0,11.3,0.6,2.0,9.24
239,232200,95,1,2.55,12.9,0.6,2.55,9.56
240,232300,95,1,2.39,12.45,0.6,2.39,9.85
241,232400,95,1,2.71,13.42,0.6,2.71,10.0
242,232500,95,1,2.05,11.97,0.6,2.05,9.35
243,232600,95,1,3.0,12.95,0.6,3.0,9.49
